Company_Name,Rating,Industry_Type,Locations,AvgSalaries,Total_Interviews,Total_Jobs,Total_Reviews
Tata Technologies,3.6,Engineering & Construction,Pune +47 other locations,20300,252,100,2500
UPL,4.1,Agro Chemicals,Ankleshwar +168 other locations,10700,171,26,2500
IDFC FIRST Bharat,4.5,Financial Services,Chennai +329 other locations,4500,105,22.5,2400
Amazon Transportation Services,4.2,Ports & Shipping,Hyderabad / Secunderabad +200 other locations,6900,221,13,2400
Zensar Technologies,3.7,IT Services & Consulting,Pune +24 other locations,25100,259,569,2400
Shoppers Stop,4.1,Retail,Mumbai +76 other locations,7100,110,4,2400
Torrent Pharmaceuticals,3.9,Pharma,Ahmedabad +106 other locations,10000,123,36,2400
UNO Minda,4,Auto Components,Pune +91 other locations,9400,165,22,2400
Varroc Group,3.7,Auto Components,Pune +57 other locations,7800,171,3,2400
Mankind Pharma,3.9,Pharma,New Delhi +217 other locations,8400,190,33,2400
Croma,4,Retail,Mumbai +163 other locations,7700,122,53,2400
Afcons Infrastructure,4.3,Engineering & Construction,Mumbai +107 other locations,8000,202,4,2400
Dilip Buildcon,4,Engineering & Construction,Bhopal +201 other locations,8100,139,14,2400
Bajaj Allianz General Insurance,3.9,Insurance,Pune +247 other locations,8900,88,344,2400
Walmart,3.8,Retail,Bangalore / Bengaluru +84 other locations,16900,405,208,2400
Flex,4,Electronics Manufacturing,Chennai +40 other locations,16800,180,79,2300
ElasticRun,3.5,Logistics,Pune +362 other locations,6300,249,15,2300
I Process Services,3.9,Banking,Mumbai +346 other locations,5400,90,68,2300
HDFC Sales,4,Financial Services,Mumbai +297 other locations,8400,165,23,2300
Capita,3.6,IT Services & Consulting,Pune +27 other locations,13700,144,61,2300
Societe Generale Global Solution Centre,3.9,IT Services & Consulting,Bangalore / Bengaluru +19 other locations,20100,252,19,2300
Nokia,4.1,Telecom,Bangalore / Bengaluru +156 other locations,14800,273,44,2300
MSN Laboratories,3.7,Pharma,Hyderabad / Secunderabad +81 other locations,8400,127,36,2300
Statestreet HCL Services,3.3,BPO,Chennai +16 other locations,16200,208,82,2300
GATI-KWE,4,Logistics,Hyderabad / Secunderabad +155 other locations,5700,86,3,2300
Quest Global,3.6,IT Services & Consulting,Bangalore / Bengaluru +38 other locations,18200,297,121,2300
Apollo Tyres,4,Auto Components,Chennai +154 other locations,9400,127,7,2300
Barclays,3.8,Banking,Pune +32 other locations,24400,273,68,2300
Nestle,4,FMCG,Gurgaon / Gurugram +259 other locations,9400,237,49,2300
Fiserv,3.1,FinTech,Pune +32 other locations,18400,168,28,2300
